"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","COMPONENT_OF_GDHI","COMPONENT_OF_GDHI_NAME","COMPONENT_OF_GDHI_CODE","COMPONENT_OF_GDHI_TYPE","COMPONENT_OF_GDHI_TYPECODE","COMPONENT_OF_GDHI_SORTORDER","MEASURE","MEASURE_NAME","MEASURE_CODE","MEASURE_TYPE","MEASURE_TYPECODE","MEASURE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"1999","1999","1999","date",0,2,"2013265926","East","E12000006","regions",480,5,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",11819,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265926d0d2d20100",59,624
"1999","1999","1999","date",0,2,"2013265927","London","E12000007","regions",480,6,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",101362,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265927d0d1d20100",60,624
"1999","1999","1999","date",0,2,"2013265927","London","E12000007","regions",480,6,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",14169,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265927d0d2d20100",61,624
"1999","1999","1999","date",0,2,"2013265928","South East","E12000008","regions",480,7,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",106113,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265928d0d1d20100",62,624
"1999","1999","1999","date",0,2,"2013265928","South East","E12000008","regions",480,7,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",13339,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265928d0d2d20100",63,624
"1999","1999","1999","date",0,2,"2013265929","South West","E12000009","regions",480,8,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",56252,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265929d0d1d20100",64,624
"1999","1999","1999","date",0,2,"2013265929","South West","E12000009","regions",480,8,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",11525,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265929d0d2d20100",65,624
"1999","1999","1999","date",0,2,"2013265930","Wales","W92000004","regions",480,9,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",28198,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265930d0d1d20100",66,624
"1999","1999","1999","date",0,2,"2013265930","Wales","W92000004","regions",480,9,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"2","GDHI per head (£)","2","meas",1000,1,"20100","Value",9721,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265930d0d2d20100",67,624
"1999","1999","1999","date",0,2,"2013265931","Scotland","S92000003","regions",480,10,"0","Gross Disposable Household Income (GDHI)","0","gdhic",1000,0,"1","Gross Disposable Household Income - GDHI (£m)","1","meas",1000,0,"20100","Value",51508,"A","Normal Value","F","Free (free for publication)","Nm-185d1d31984e1d2013265931d0d1d20100",68,624
